probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715340_s_at,CT47A10,728036.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A11,255313.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A12,100507170.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A2,728090.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A3,728082.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A4,728075.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A5,728072.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A6,728062.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A7,653282.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A8,728049.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47A9,728042.0,13,13,ambiguous,GSE44076
11715340_s_at,CT47B1,643311.0,13,13,ambiguous,GSE44076
11715341_at,MROH9,80133.0,1,1,mapped_unique,GSE44076
11715342_at,BRI3,25798.0,1,1,mapped_unique,GSE44076
11715343_at,MUC16,94025.0,1,1,mapped_unique,GSE44076
11715344_at,GSTP1,2950.0,1,1,mapped_unique,GSE44076
11715345_s_at,ADAMTS15,170689.0,1,1,mapped_unique,GSE44076
11715346_at,EBI3,10148.0,1,1,mapped_unique,GSE44076
11715347_s_at,HBB,3043.0,1,1,mapped_unique,GSE44076
11715348_x_at,HBB,3043.0,1,1,mapped_unique,GSE44076
11715349_a_at,COX7C,1350.0,1,1,mapped_unique,GSE44076
11715350_a_at,COL1A1,1277.0,1,1,mapped_unique,GSE44076
11715351_at,COL1A1,1277.0,1,1,mapped_unique,GSE44076
11715352_x_at,COL1A1,1277.0,1,1,mapped_unique,GSE44076
11715353_s_at,COL1A2,1278.0,1,1,mapped_unique,GSE44076
11715354_a_at,COL1A2,1278.0,1,1,mapped_unique,GSE44076
11715355_at,COL1A2,1278.0,1,1,mapped_unique,GSE44076
11715356_x_at,COL1A2,1278.0,1,1,mapped_unique,GSE44076
11715357_s_at,RPS21,6227.0,1,1,mapped_unique,GSE44076
11715358_x_at,CST3,1471.0,1,1,mapped_unique,GSE44076
11715359_a_at,TIMP1,7076.0,1,1,mapped_unique,GSE44076
11715360_x_at,TIMP1,7076.0,1,1,mapped_unique,GSE44076
11715361_a_at,ATP6V0E1,8992.0,1,1,mapped_unique,GSE44076
11715362_at,ATP6V0E1,8992.0,1,1,mapped_unique,GSE44076
11715363_a_at,A2M,2.0,1,1,mapped_unique,GSE44076
11715364_a_at,SPDEF,25803.0,1,1,mapped_unique,GSE44076
